NM_BAIRRO,POPULTOT,AreaKm2_p8,DnsPKm2_p8,geometry
Santana,246,0.01442376,17055.19226609,"POLYGON ((-51.215799340624294 -30.042480123334293, -51.2155913696215 -30.0418243493392, -51.2139845869731 -30.040829762597998, -51.2133045366776 -30.041009550029298, -51.21382902451241 -30.041323654597598, -51.214573701951494 -30.041770961079198, -51.215799340624294 -30.042480123334293))"
Santana,347,0.02730943,12706.23370755,"POLYGON ((-51.214573701951494 -30.041770961079198, -51.21363664072341 -30.043043182457, -51.2148375744589 -30.043739849982803, -51.2148388482455 -30.043738183647097, -51.215312691615395 -30.043118313622998, -51.215404095645404 -30.042998741161203, -51.215799340624294 -30.042480123334293, -51.214573701951494 -30.041770961079198))"
Santana,529,0.02919856,18117.33181362,"POLYGON ((-51.213284611338395 -30.040997526730898, -51.2124905967316 -30.0421217794534, -51.212361987557294 -30.042303749929502, -51.21363664072341 -30.043043182457, -51.214573701951494 -30.041770961079198, -51.21382902451241 -30.041323654597598, -51.2133045366776 -30.041009550029298, -51.213284611338395 -30.040997526730898))"
Santana,534,0.03756162,14216.63921844,"POLYGON ((-51.2117040808591 -30.040043806972797, -51.2107019136271 -30.0413420030029, -51.2113684762666 -30.041727409177003, -51.212361987557294 -30.042303749929502, -51.2124905967316 -30.0421217794534, -51.213284611338395 -30.040997526730898, -51.2117040808591 -30.040043806972797))"
Santana,435,0.02797357,15550.39274572,"POLYGON ((-51.2124602853665 -30.039064228257804, -51.2117040808591 -30.040043806972797, -51.213284611338395 -30.040997526730898, -51.213793581229005 -30.040276871493194, -51.21401014361359 -30.0399737315332, -51.2130698262444 -30.039421619677, -51.2124602853665 -30.039064228257804))"
Santana,309,0.0365544,8453.15475018,"POLYGON ((-51.211390548850694 -30.0384370108467, -51.210576504177496 -30.039512262582598, -51.210283171259896 -30.0410998863824, -51.2107019136271 -30.0413420030029, -51.2117040808591 -30.040043806972797, -51.2124602853665 -30.039064228257804, -51.211390548850694 -30.0384370108467))"
Santana,628,0.04092785,15344.07500027,"POLYGON ((-51.21025340961649 -30.0377718796292, -51.2097114095558 -30.0385101186302, -51.20960093059019 -30.039241278234496, -51.2095335891173 -30.0397034490082, -51.2094041721643 -30.040591649559, -51.210283171259896 -30.0410998863824, -51.210576504177496 -30.039512262582598, -51.211390548850694 -30.0384370108467, -51.2107674133609 -30.038071648514002, -51.21025340961649 -30.0377718796292))"
Santana,461,0.01834176,25133.90209009,"POLYGON ((-51.209602995254095 -30.037392555567397, -51.2091111299736 -30.0381473854432, -51.2089680725653 -30.039665531920296, -51.2095335891173 -30.0397034490082, -51.20960093059019 -30.039241278234496, -51.2097114095558 -30.0385101186302, -51.21025340961649 -30.0377718796292, -51.209602995254095 -30.037392555567397))"
Santana,368,0.01588298,23169.45560594,"POLYGON ((-51.20911679248639 -30.037109000315002, -51.208388776011105 -30.0372724016218, -51.20875304012 -30.037535190044803, -51.2086623622512 -30.039302329333204, -51.2083076815891 -30.039621619407995, -51.2089680725653 -30.039665531920296, -51.2091111299736 -30.0381473854432, -51.209602995254095 -30.037392555567397, -51.20911679248639 -30.037109000315002))"
Santana,416,0.00913552,45536.54307582,"POLYGON ((-51.208388776011105 -30.0372724016218, -51.208366944749095 -30.0379103175502, -51.2083076815891 -30.039621619407995, -51.2086623622512 -30.039302329333204, -51.20875304012 -30.037535190044803, -51.208388776011105 -30.0372724016218))"
Santana,604,0.02022701,29861.06201559,"POLYGON ((-51.2083076815891 -30.039621619407995, -51.2082278019807 -30.0419282483852, -51.2085205648199 -30.041919655826895, -51.2086788826402 -30.041737110552294, -51.208846947173 -30.0402694623566, -51.2094041721643 -30.040591649559, -51.2095335891173 -30.0397034490082, -51.2089680725653 -30.039665531920296, -51.2083076815891 -30.039621619407995))"
Santana,416,0.0523503,7946.46831059,"POLYGON ((-51.2094041721643 -30.040591649559, -51.208846947173 -30.0402694623566, -51.2086788826402 -30.041737110552294, -51.2085205648199 -30.041919655826895, -51.2082278019807 -30.0419282483852, -51.2081908913642 -30.042994091085102, -51.2072000899007 -30.044388130920495, -51.208444937250405 -30.0450841050072, -51.208750237422294 -30.044597759691296, -51.2088855624219 -30.044331322945904, -51.2089931243458 -30.043526206982904, -51.2091755836142 -30.0421604739773, -51.2094041721643 -30.040591649559))"
Santana,499,0.03053757,16340.52742245,"POLYGON ((-51.2094041721643 -30.040591649559, -51.2091755836142 -30.0421604739773, -51.2089931243458 -30.043526206982904, -51.20980897060289 -30.0436177846965, -51.209941710444504 -30.0429479957655, -51.2100067473949 -30.042595992276603, -51.210283171259896 -30.0410998863824, -51.2094041721643 -30.040591649559))"
Santana,388,0.01512793,25647.92407157,"POLYGON ((-51.210283171259896 -30.0410998863824, -51.2100067473949 -30.042595992276603, -51.2106317434363 -30.0426746327766, -51.2108481376322 -30.042388835248097, -51.2113684762666 -30.041727409177003, -51.2107019136271 -30.0413420030029, -51.210283171259896 -30.0410998863824))"
Santana,264,0.01690439,15617.24498784,"POLYGON ((-51.2113684762666 -30.041727409177003, -51.2108481376322 -30.042388835248097, -51.2106317434363 -30.0426746327766, -51.2106578932345 -30.042677923090498, -51.2112394122346 -30.042982922233296, -51.211321448575696 -30.0430261082281, -51.211709570505796 -30.043237260187702, -51.212361987557294 -30.042303749929502, -51.2113684762666 -30.041727409177003))"
Santana,246,0.0215051,11439.14699304,"POLYGON ((-51.212361987557294 -30.042303749929502, -51.211709570505796 -30.043237260187702, -51.2120673954864 -30.0430953008161, -51.2144922848634 -30.0439378724955, -51.2145393636772 -30.044129961855496, -51.2148375744589 -30.043739849982803, -51.21363664072341 -30.043043182457, -51.212361987557294 -30.042303749929502))"
Santana,293,0.06917761,4235.47445481,"POLYGON ((-51.211709570505796 -30.043237260187702, -51.21173612451629 -30.0434035684909, -51.211746633737796 -30.043467625447498, -51.211761284382 -30.043528065953, -51.2117790699421 -30.043599330799697, -51.2118795313108 -30.0440133931386, -51.2117885391116 -30.0441489066839, -51.21129222484001 -30.044893320931102, -51.2111200674592 -30.044908938502598, -51.2105635194398 -30.0449578640367, -51.212493725036396 -30.0460113270088, -51.21290917811059 -30.046247112774196, -51.213086068114 -30.046031126698196, -51.2144814687571 -30.044205698539397, -51.2145338762966 -30.0441371403094, -51.211709570505796 -30.043237260187702))"
Jardim do Salso,695,0.10361926,6707.24728202,"POLYGON ((-51.171195084576794 -30.046394953465, -51.1702077204038 -30.0464553628232, -51.169023236268 -30.046528180380598, -51.169001704912496 -30.046528751819803, -51.168701684418004 -30.0465367143222, -51.166167874359 -30.0467402762875, -51.1664589020494 -30.047705529729196, -51.1665613357126 -30.048168356711596, -51.1684306479612 -30.0487668313833, -51.168816678887005 -30.0488919590991, -51.1691597534752 -30.048116315656504, -51.169360765300794 -30.0479815926518, -51.16969673791739 -30.0479107695449, -51.171358491726096 -30.0478869610115, -51.171195084576794 -30.046394953465))"
